500,480,250,1000
1000,480,250,1000
1500,200,250,1000
2000,200,250,1000
2500,120,250,1000
3000,120,250,1000
3500,200,750,1000
4500,280,250,1000
5000,280,250,1000
5500,320,250,1000
6000,320,250,1000
6500,400,250,1000
7000,400,250,1000
7500,480,750,1000
8500,200,250,1000
9000,200,250,1000
9500,280,250,1000
10000,280,250,1000
10500,320,250,1000
11000,320,250,1000
11500,400,750,1000
12500,200,250,1000
13000,200,250,1000
13500,280,250,1000
14000,280,250,1000
14500,320,250,1000
15000,320,250,1000
15500,400,750,1000
16500,480,250,1000
17000,480,250,1000
17500,200,250,1000
18000,200,250,1000
18500,120,250,1000
19000,120,250,1000
19500,200,750,1000
20500,280,250,1000
21000,280,250,1000
21500,320,250,1000
22000,320,250,1000
22500,400,250,1000
23000,400,250,1000
23500,480,750,1000
